0 14357 
1 9818 
1. 2358 
10 9482 
100037 17052 
102 17770 
104 2782 
1043 5034 
1057 865 
11 8870 
11. 7186 
112 10868 
113 18669 
114 16605 
115 6608 
118 2209 
119 16639 
12 12809 
120 16608 
121 5105 
122 15386 
125 7940 
129 2777 
13 12844 
130 19323 
1300 7365 
131 16597 
132 16600 
134 3631 
1348 17118 
1353 6696 
1363 776 
14 12347 
142 2208 
146 10389 
147 1419 
15 14835 
150 19444 
1509 16803 
1520 5722 
1532 4947 
1546 4245 
1550 7043 
1564 4945 
16 10947 
1600 10882 
1605 10782 
1609 13466 
166 4379 
1661 13239 
1671 9053 
17 13257 
173 5352 
1741 13066 
1763 12704 
18 5166 
180 15484 
1804 16908 
1807 7759 
181 13220 
1812 14624 
1816 13311 
182 11065 
1844 11960 
1856 18799 
1863 10075 
1866 13154 
1870 19906 
1871 14844 
1877 10648 
188 16632 
1882 3526 
1891 18080 
1892 15138 
1894 12248 
1895 12855 
19 12067 
1900 11637 
1906 13619 
1907 10472 
1908 1812 
191 9987 
1917 1808 
192 1143 
1927 17098 
1935 19397 
1937. 4479 
1939 16762 
1941 16619 
1943 12242 
1944 1807 
1946 18286 
1947 1811 
1949 5198 
195 17922 
1950 12274 
1951. 7078 
1954 11620 
1959 18639 
196 5314 
1961 18814 
1962 20062 
1962. 14486 
1963 3854 
1964 7542 
1965 18026 
1969 17055 
1970 4673 
1971 7225 
1973. 7115 
1974. 7181 
1976. 13181 
1977. 12996 
1978 18015 
1978. 4482 
1979 10457 
1979. 9766 
1980 5295 
1980. 7146 
1981 17986 
1981. 11737 
1982 5065 
1982. 10969 
1983 15401 
1983. 9293 
1984 15378 
1985 15400 
1986 8078 
1987 15385 
1987. 4510 
1988 10793 
1988. 7137 
1989 7111 
1989. 10095 
199 12582 
1990 10796 
1990. 8994 
1991 2779 
1991. 13597 
1992 10211 
1992. 15597 
1993 15277 
1993. 11701 
1994 17978 
1994. 19179 
1995 9879 
1995.3. 6938 
199503 3835 
199504 14705 
199505 8404 
199506 7086 
199511 8809 
1996 16448 
199601 9737 
199602 13421 
199603 7729 
199604 13018 
19960526 9885 
199606 18394 
199607 15675 
199608 18118 
199609 10690 
199610 8832 
19961101 3035 
199612 3034 
199704 4056 
199706 16714 
199802 16717 
2 6396 
2. 5102 
20 12594 
2010 17127 
204 7002 
2055 4875 
2069 895 
21 13344 
215 15392 
22 10749 
2216 3912 
225 13400 
23 19830 
237 14199 
24 10161 
243 14634 
2432 14299 
2435 1258 
25 14033 
26 6292 
27 14056 
276 15381 
277 6896 
2785 3648 
28 14058 
289 993 
29 9048 
3 5432 
3. 14348 
30 13768 
300 17262 
3021 14716 
3062 15417 
3083 11857 
3096 2210 
31 10371 
3101 1418 
311 956 
3118 19136 
313 7094 
3130 14787 
3147 17053 
3169 18825 
3171 7753 
32 11787 
3224 5537 
323 7596 
3251 7055 
327 918 
3283 3036 
33 15390 
3325 2778 
3344 5088 
3380 3836 
34 8899 
3412 5673 
3427 295 
348 967 
349 497 
349.5 6304 
35 15388 
36 9775 
365 1495 
37 13745 
372 11193 
38 6282 
385 14197 
386 712 
39 9501 
390 2368 
393 3770 
399 6553 
4 11671 
40 14305 
400 16562 
401 15225 
408 2673 
41 13145 
410 16707 
4128 4061 
4131 16701 
42 7034 
420 6512 
429 11624 
43 16165 
435 17985 
439. 5165 
44 12228 
45 9115 
454 13600 
46 15405 
47 15406 
476 6997 
48 15394 
485 16620 
49 11800 
5 11793 
50 13087 
502 14246 
51 16290 
52 7737 
53 5908 
54 12681 
55 13780 
551 11375 
56 10651 
57 15232 
570 1018 
58 19488 
59 16408 
6 9123 
6.14 11715 
60 9763 
61 11287 
62 16418 
63 7965 
64 16810 
65 14290 
66 18322 
67 5244 
68 16466 
69 19969 
7 5895 
70 10152 
7000 17450 
71 14073 
72 14790 
73 16515 
74 14983 
77 8218 
776.6 7480 
78 1074 
78. 17807 
8 12583 
80 19703 
83 14136 
85 16835 
86 17390 
89 1628 
9 9252 
90 9961 
91 14141 
92 1483 
92. 13204 
93 2439 
94 11766 
95 16645 
97 15408 
98 9009 
99 16610 
991 13540 
994 10999 
a 11467 
about 18086 
abstract 7254 
ad 1870 
addiss 7066 
aesthete 5337 
aesthetics 11788 
