玉川 1
祥瑞 1
曦 1
襄阳 1
汇编 2
可取之处 1
多有 1
光圈 1
零碎 1
映衬 1
范导 1
失信 1
赤裸裸 1
于仁 1
虽抹 1
诡于 1
行权 1
其智 1
明智 1
之资 1
贵智贵仁 1
整部 1
更强 1
终结 1
旦夕 1
损于 1
百感交集 1
百感 1
喃喃自语 1
自语 1
忠诚 1
手上 1
交到 1
深悔 1
明来 1
唯恐 1
而道己 1
臣僚 1
声画 1
得天独厚 1
换马 2
然性 1
不久前 1
上银幕 1
搬 1
躁进 1
事功 1
身亡 2
饮箭 2
而攻 1
刘璋 1
鸿门宴 1
盖养 1
先昭烈 1
孔明亦 1
益州 1
昭 1
答问 3
略胜一筹 1
略胜 1
以断 1
以慎 1
默契 1
入川 2
争功 2
黄忠 1
赵云 1
倾轧 1
袁绍 1
贬抑 1
左右手 1
地请 1
理事 1
耒阳 1
重用 1
荐 3
两封 1
修书 1
任用 1
太顺 1
智勇双全 1
智勇 1
之利 1
二则 1
一则 1
营里 1
非官方 1
后边 1
剥笋 1
层层 1
扬名 2
终南 1
颇似 1
内心深处 1
无所顾忌 1
胸怀坦荡 1
不似 2
心思 1
机待时 1
兵法 1
大声 1
诵孙 1
一人 1
只见 1
一处 1
钉作 1
献 2
四散 1
火攻 1
须用 1
问计 1
肃 2
瑜 1
都督 1
连环计 3
进献 1
多角度 1
二难 1
礼贤下士 2
茅庐 1
耐 1
几分 2
总体设计 1
消耗 1
旗鼓相当 1
旗鼓 1
常言 1
必在己 1
屡次 1
连象 1
终归 1
凤雏 1
孙权 2
得凤雏 1
称王 1
刘备入 1
可安 3
抛 1
而己 1
哂笑 1
反面角色 1
面角 1
意气用事 1
一己之私 1
多谋 1
纷争 1
讲史 1
地写 1
上极 1
败笔 2
智士 1
地立 1
中要 1
中极 1
沉溺 1
张飞 5
阿恩海姆 2
乃大才 1
海姆 2
鲁道夫 2
方与 1
悲壮 1
轻于 1
三十六 1
攻城 1
县 2
史载 1
不乱 1
临危 1
西川 2
初入 1
协助 1
庞统确 1
谋略 2
军旅 1
文人相轻 1
这番 1
友情 2
同声附和 1
附和 1
同声 1
其骥足 1
百里 1
名将 1
吴中 1
治政 1
令人吃惊 1
吃惊 2
罢官 2
令人费解 1
先未 1
麾下 1
德高望重 1
德高 1
可不 1
微一截 1
立身 1
写来 1
照实 1
臣亦择 1
君择 1
职 1
走近 1
试想 1
美以 1
陵迟 1
品评 1
其才 1
称述 1
每所 1
长养 1
勤于 1
人伦 2
过多地 1
俊逸 1
膝 1
林下 1
钝 2
共语 1
桑树 2
一在 2
司马德操 2
朴钝 2
经他 1
庞德公 1
德公之题 1
马德操 1
旧语 1
先贤 1
拍摄 1
罗贯中 5
整形 1
打模 1
铺叙 1
外缘 1
即身 1
而同 1
一可安 1
卧龙 2
那般 1
污点 1
背弃 1
一言不发 1
故此 1
同日而语 1
可怜 1
事君 1
决择 2
纠葛 1
其始 1
樊城 1
刘备 25
宛然 1
因人而异 1
秋毫 1
明察 1
运筹帷幄 1
帷幄 1
失之交臂 1
交臂 1
之匹 1
