0 0 55718
1 55718 44781
2 100499 34059
3 134558 33595
4 168153 27842
5 195995 24895
6 220890 24706
7 245596 24374
8 269970 24242
9 294212 24047
10 318259 23905
11 342164 23810
12 365974 23026
13 389000 22806
14 411806 22817
15 434623 22543
16 457166 22528
17 479694 21936
18 501630 21952
19 523582 21867
20 545449 21647
21 567096 21602
22 588698 21580
23 610278 21510
24 631788 21482
25 653270 21318
26 674588 21229
27 695817 20984
28 716801 20736
29 737537 20283
30 757820 19116
31 776936 19028
32 795964 18710
33 814674 17708
34 832382 17582
35 849964 17575
36 867539 17530
37 885069 17445
38 902514 17221
39 919735 17211
40 936946 17254
41 954200 17198
42 971398 17070
43 988468 16983
44 1005451 16880
45 1022331 16884
46 1039215 16832
47 1056047 16596
48 1072643 16524
49 1089167 16433
50 1105600 16385
51 1121985 16289
52 1138274 16027
53 1154301 15867
54 1170168 15851
55 1186019 15772
56 1201791 15807
57 1217598 15791
58 1233389 15789
59 1249178 15778
60 1264956 15777
61 1280733 15709
62 1296442 15743
63 1312185 15701
64 1327886 15695
65 1343581 15661
66 1359242 15601
67 1374843 15255
68 1390098 15085
69 1405183 15007
70 1420190 14633
71 1434823 14351
72 1449174 14011
73 1463185 13920
74 1477105 13563
75 1490668 13292
76 1503960 13181
77 1517141 13217
78 1530358 13091
79 1543449 13172
80 1556621 13153
81 1569774 13061
82 1582835 12995
83 1595830 13071
84 1608901 12838
85 1621739 12627
86 1634366 12432
87 1646798 12336
88 1659134 12154
89 1671288 11997
90 1683285 11912
91 1695197 11867
92 1707064 11856
93 1718920 11433
94 1730353 11323
95 1741676 11115
96 1752791 11022
97 1763813 10997
98 1774810 10976
99 1785786 10747
100 1796533 10689
101 1807222 10607
102 1817829 10494
103 1828323 10445
104 1838768 10392
105 1849160 10368
106 1859528 10311
107 1869839 10152
108 1879991 10199
109 1890190 10111
110 1900301 10064
111 1910365 10069
112 1920434 9924
113 1930358 9933
114 1940291 9905
115 1950196 9835
116 1960031 9844
117 1969875 9617
118 1979492 9506
119 1988998 9481
120 1998479 9352
121 2007831 9352
122 2017183 9224
123 2026407 9216
124 2035623 9198
125 2044821 9196
126 2054017 9052
127 2063069 9078
128 2072147 9023
129 2081170 9029
130 2090199 8969
131 2099168 8903
132 2108071 8879
133 2116950 8634
134 2125584 8476
135 2134060 8467
136 2142527 8420
137 2150947 8347
138 2159294 8324
139 2167618 8320
140 2175938 8194
141 2184132 8229
142 2192361 8269
143 2200630 8213
144 2208843 8086
145 2216929 8038
146 2224967 7925
147 2232892 7859
148 2240751 7756
149 2248507 7819
150 2256326 7698
151 2264024 7622
152 2271646 7661
153 2279307 7677
154 2286984 7636
155 2294620 7646
156 2302266 7599
157 2309865 7576
158 2317441 7574
159 2325015 7578
160 2332593 7544
161 2340137 7529
162 2347666 7506
163 2355172 7493
164 2362665 7457
165 2370122 7440
166 2377562 7356
167 2384918 7366
168 2392284 7257
169 2399541 7216
170 2406757 7222
171 2413979 7157
172 2421136 7106
173 2428242 7095
174 2435337 7093
175 2442430 7096
176 2449526 6951
177 2456477 6920
178 2463397 6892
179 2470289 6885
180 2477174 6896
181 2484070 6859
182 2490929 6876
183 2497805 6847
184 2504652 6835
185 2511487 6769
186 2518256 6787
187 2525043 6759
188 2531802 6735
189 2538537 6703
190 2545240 6677
191 2551917 6630
192 2558547 6598
193 2565145 6578
194 2571723 6614
195 2578337 6599
196 2584936 6518
197 2591454 6489
198 2597943 6491
199 2604434 6467
200 2610901 6340
201 2617241 6231
